ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,ZIP,YEAR,POP,P0_44,P45_64,P65_,PER65,PERW,PERHIS,PERBLK,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PERBACH,CASE4_11,CASE4_16,TEST4_16,MEDINC,PERNCITZ,PERASSIS,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,PERTROCC,PERHU1,PERHU2_9,PERHU10p,PERMOBH,PERNOINS,PERNOBB,CASE_5_1,TEST_5_1,cases_ests,GISJOIN_1,YEAR_1,STUSAB,ZCTA5A,GEOID,NAME_E,ALY7E001,ALY7E002,ALY7E003,ALY7E004,ALY7E005,ALY7E006,ALY7E007,ALY7E008,ALY7E009,ALY7E010,ALY7E011,ALY7E012,ALY7E013,ALY8E001,ALY8E002,ALY8E003,ALY8E004,ALY8E005,ALY8E006,ALY8E007,ALY8E008,ALY8E009,ALY8E010,ALY8E011,ALY8E012,ALY8E013,ALZFE001,ALZFE002,ALZFE003,ALZFE004,ALZFE005,ALZFE006,ALZFE007,ALZFE008,ALZFE009,ALZFE010,ALZFE011,ALZFE012,ALZFE013,NAME_M,ALY7M001,ALY7M002,ALY7M003,ALY7M004,ALY7M005,ALY7M006,ALY7M007,ALY7M008,ALY7M009,ALY7M010,ALY7M011,ALY7M012,ALY7M013,ALY8M001,ALY8M002,ALY8M003,ALY8M004,ALY8M005,ALY8M006,ALY8M007,ALY8M008,ALY8M009,ALY8M010,ALY8M011,ALY8M012,ALY8M013,ALZFM001,ALZFM002,ALZFM003,ALZFM004,ALZFM005,ALZFM006,ALZFM007,ALZFM008,ALZFM009,ALZFM010,ALZFM011,ALZFM012,ALZFM013,totalHU,crowdHU,PERCROWD
60653,60653,B5,G6350,S,6041422,1696670,41.8199645,-87.6059654,12444.64981,6041419.148,60653,2014-2018,31972,20511,7339,4122,0.128925,0.042975,0.02155,0.903165,0.013355,0.573562,0.293403,0.044204,0.06386,0.331793,135,204,798,29569,0.016514,0.397461,0.480543,0.063676,0.043415,0.05636,0.022833,0.049606,0.185019,0.405487,0.409494,0,0.061803,0.321647,301,1221,0.246519,G60653,2015-2019,US,60653,86000US60653,ZCTA5 60653,1065,568,390,42,56,45,35,497,359,44,94,0,0,11526,4618,1690,1045,686,294,903,6908,2653,1943,1841,22,449,424,184,45,47,16,47,29,240,146,31,63,0,0,ZCTA5 60653,189,130,114,29,36,42,30,124,94,37,58,24,24,662,405,231,241,194,121,216,478,267,320,290,22,128,141,75,45,36,18,43,31,97,79,31,54,24,24,13892,364,2.620213
60654,60654,B5,G6350,S,1464803,113470,41.8918225,-87.6383036,6379.999862,1578277.365,60654,2014-2018,19135,14016,3992,1127,0.058897,0.738124,0.052103,0.053724,0.124797,0.245298,0.14639,0.44875,0.097147,0.853717,42,78,275,112699,0.057068,0.031074,0.784054,0.00119,0.00182,0.014,0.0063,0.01099,0.041988,0.026403,0.930625,0.000984,0.018918,0.081289,92,486,0.1893,G60654,2015-2019,US,60654,86000US60654,ZCTA5 60654,12039,6354,4657,89,1327,41,240,5685,4298,216,1044,0,127,692,353,143,81,102,10,17,339,310,18,11,0,0,913,467,317,18,88,0,44,446,208,30,170,0,38,ZCTA5 60654,661,560,512,83,330,40,113,477,435,169,264,21,141,281,219,98,92,164,21,27,164,163,29,18,21,21,346,243,226,28,74,21,51,213,104,35,181,21,62,11526,167,1.448898
60655,60655,B5,G6350,S,11408006,0,41.6947762,-87.7037764,22196.75568,11408022.21,60655,2014-2018,28804,16965,8108,3731,0.129531,0.826101,0.082975,0.066414,0.014616,0.854966,0.081758,0.022997,0.028217,0.43967,96,130,649,97572,0.013193,0.03333,0.435636,0.014119,0.182244,0.02879,0.023418,0.029203,0.863973,0.07518,0.060292,0.000555,0.027184,0.16362,170,1088,0.15625,G60655,2015-2019,US,60655,86000US60655,ZCTA5 60655,13012,7104,1722,2711,937,858,876,5908,3116,934,1730,10,118,1142,440,77,100,124,29,110,702,373,112,178,0,39,1121,729,126,312,143,13,135,392,144,123,117,0,8,ZCTA5 60655,587,439,229,286,177,176,195,334,293,176,249,12,64,280,157,45,66,99,24,87,203,122,81,86,21,32,175,139,48,94,80,17,64,117,82,77,60,21,15,10078,193,1.915063
60656,60656,B5,G6350,S,8465225,0,41.97428,-87.8271283,28416.70445,8465221.962,60656,2014-2018,27579,15387,7555,4637,0.168135,0.763371,0.12263,0.011784,0.07299,0.814563,0.131484,0.010472,0.033634,0.382404,59,89,647,61599,0.152761,0.087525,0.461408,0.016676,0.065206,0.049279,0.051457,0.10196,0.475945,0.258791,0.265263,0,0.098517,0.233372,140,975,0.14359,G60656,2015-2019,US,60656,86000US60656,ZCTA5 60656,12781,7278,2022,1152,1005,1044,2055,5503,2125,1517,1566,0,295,239,109,36,0,0,20,53,130,53,0,77,0,0,2000,1085,290,240,276,62,217,915,400,229,286,0,0,ZCTA5 60656,801,554,345,242,229,211,368,463,336,298,277,21,152,122,80,55,21,21,31,49,100,72,21,72,21,21,438,256,153,117,140,44,104,286,169,142,148,21,21,11887,217,1.825524
60657,60657,B5,G6350,S,5888324,2025836,41.9402931,-87.6468523,19097.12822,5998167.358,60657,2014-2018,70052,52841,11593,5618,0.080198,0.805002,0.069962,0.025281,0.068977,0.324064,0.515307,0.072115,0.068385,0.822785,134,159,908,92295,0.062868,0.028779,0.700862,0.007037,0.009784,0.040659,0.003894,0.0152,0.121239,0.338448,0.539385,0.000928,0.034748,0.092071,211,1486,0.141992,G60657,2015-2019,US,60657,86000US60657,ZCTA5 60657,44291,22406,14993,1457,4478,480,998,21885,14991,2249,4374,10,261,1477,823,543,47,213,0,20,654,449,24,151,0,30,3497,1697,887,203,297,38,272,1800,1067,277,391,16,49,ZCTA5 60657,1184,881,721,274,419,153,250,833,708,366,458,16,98,271,232,159,48,150,27,30,175,144,24,97,27,33,511,272,190,104,131,29,111,355,302,135,135,19,45,36872,618,1.676069
60659,60659,B5,G6350,S,5251087,2818,41.9914885,-87.7039859,12947.04112,5253894.86,60659,2014-2018,41068,26407,10058,4603,0.112082,0.398437,0.191877,0.100005,0.265803,0.67947,0.181766,0.081255,0.038357,0.359932,165,243,678,51383,0.219344,0.24422,0.413938,0.040049,0.008629,0.072078,0.055479,0.098726,0.21576,0.598176,0.183801,0.002263,0.13315,0.203365,383,1095,0.349772,G60659,2015-2019,US,60659,86000US60659,ZCTA5 60659,11288,6138,1818,1097,1201,575,1447,5150,2092,1224,1311,18,505,1676,984,228,222,81,18,435,692,330,209,70,0,83,4323,2575,315,690,424,338,808,1748,474,529,458,0,287,ZCTA5 60659,978,588,287,254,298,230,320,570,370,356,314,35,184,448,330,147,203,65,29,157,208,147,107,60,24,63,706,447,113,256,179,203,233,392,222,202,176,24,147,12452,1131,9.082878
60660,60660,B5,G6350,S,3340837,557846,41.9911098,-87.6630763,10054.4027,3340837.485,60660,2014-2018,43242,26605,10896,5741,0.132764,0.516003,0.178715,0.141783,0.128879,0.400852,0.428119,0.080625,0.067154,0.516428,86,145,522,49241,0.143448,0.130054,0.505296,0.033417,0.012272,0.079226,0.030499,0.033137,0.087998,0.272704,0.638871,0.000427,0.094701,0.213242,232,875,0.265143,G60660,2015-2019,US,60660,86000US60660,ZCTA5 60660,17473,9670,4847,1762,1586,353,1122,7803,4250,1317,1839,76,321,3162,1784,815,330,257,66,316,1378,690,277,259,0,152,3961,2562,558,897,274,141,692,1399,474,493,307,0,125,ZCTA5 60660,829,579,463,298,278,119,268,550,364,231,311,57,200,426,331,226,153,106,84,104,267,195,118,119,24,125,446,348,142,257,108,77,214,239,136,181,104,24,138,20329,1072,5.273255
60661,60661,B5,G6350,S,769922,0,41.8830276,-87.6440993,5019.57395,769927.1017,60661,2014-2018,9926,8494,1215,217,0.021862,0.512895,0.064477,0.035966,0.357949,0.214462,0.221323,0.499588,0.040615,0.902175,18,20,112,107245,0.290349,0.00812,0.791215,0.009761,0.005559,0.015727,0.002305,0,0.01632,0.012908,0.968694,0.002077,0.031332,0.060396,25,219,0.114155,G60661,2015-2019,US,60661,86000US60661,ZCTA5 60661,5216,2819,2124,102,549,30,14,2397,1823,105,469,0,0,293,86,86,0,0,0,0,207,155,20,32,0,0,568,259,155,84,20,0,0,309,263,14,32,0,0,ZCTA5 60661,492,298,237,109,150,34,23,318,265,65,164,18,18,113,62,62,18,18,18,18,90,80,31,35,18,18,196,165,98,105,32,18,18,123,108,24,39,18,18,5653,315,5.572263
60706,60706,B5,G6350,S,7660353,0,41.9642573,-87.8162416,17012.627,7660341.913,60706,2014-2018,23301,11653,6305,5343,0.229303,0.803957,0.107206,0.006266,0.077078,0.857378,0.085864,0.014844,0.030562,0.284503,47,88,477,62657,0.115102,0.065847,0.54876,0.023018,0.026212,0.0264,0.047351,0.044156,0.669984,0.150864,0.177266,0.001886,0.070502,0.306348,163,820,0.19878,G60706,2015-2019,US,60706,86000US60706,ZCTA5 60706,9735,5421,1738,620,871,1032,1160,4314,1409,1116,1566,32,191,73,37,25,0,0,0,12,36,17,8,11,0,0,988,577,125,94,109,99,150,411,145,130,100,0,36,ZCTA5 60706,431,354,265,149,170,180,213,307,219,187,251,37,95,52,37,33,21,21,21,16,38,20,14,18,21,21,237,169,72,73,61,51,86,134,87,71,67,21,49,8908,195,2.189044
60707,60707,B5,G6350,S,9344358,0,41.9218528,-87.8072823,15366.27632,9344347.082,60707,2014-2018,43019,24675,11599,6745,0.156791,0.480648,0.383668,0.078268,0.039122,0.826,0.114012,0.015272,0.029875,0.265085,91,175,841,57554,0.093447,0.140791,0.464509,0.034014,0.019704,0.044429,0.061271,0.062022,0.544243,0.298271,0.157486,0,0.094236,0.242352,338,1513,0.223397,G60707,2015-2019,US,60707,86000US60707,ZCTA5 60707,16187,8530,2158,1404,1279,1651,2038,7657,2849,1938,2353,13,504,1391,618,375,72,95,9,67,773,275,209,181,0,108,8359,4406,760,694,659,865,1428,3953,1086,1044,1215,28,580,ZCTA5 60707,898,639,291,355,301,372,320,505,331,327,324,18,172,327,228,190,47,77,18,52,199,128,151,100,24,99,649,489,184,202,202,243,289,451,245,328,245,33,203,15568,433,2.781346
