ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,ZIP,YEAR,POP,P0_44,P45_64,P65_,PER65,PERW,PERHIS,PERBLK,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PERBACH,CASE4_11,CASE4_16,TEST4_16,MEDINC,PERNCITZ,PERASSIS,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,PERTROCC,PERHU1,PERHU2_9,PERHU10p,PERMOBH,PERNOINS,PERNOBB,CASE_5_1,TEST_5_1,cases_ests,GISJOIN_1,YEAR_1,STUSAB,ZCTA5A,GEOID,NAME_E,ALY7E001,ALY7E002,ALY7E003,ALY7E004,ALY7E005,ALY7E006,ALY7E007,ALY7E008,ALY7E009,ALY7E010,ALY7E011,ALY7E012,ALY7E013,ALY8E001,ALY8E002,ALY8E003,ALY8E004,ALY8E005,ALY8E006,ALY8E007,ALY8E008,ALY8E009,ALY8E010,ALY8E011,ALY8E012,ALY8E013,ALZFE001,ALZFE002,ALZFE003,ALZFE004,ALZFE005,ALZFE006,ALZFE007,ALZFE008,ALZFE009,ALZFE010,ALZFE011,ALZFE012,ALZFE013,NAME_M,ALY7M001,ALY7M002,ALY7M003,ALY7M004,ALY7M005,ALY7M006,ALY7M007,ALY7M008,ALY7M009,ALY7M010,ALY7M011,ALY7M012,ALY7M013,ALY8M001,ALY8M002,ALY8M003,ALY8M004,ALY8M005,ALY8M006,ALY8M007,ALY8M008,ALY8M009,ALY8M010,ALY8M011,ALY8M012,ALY8M013,ALZFM001,ALZFM002,ALZFM003,ALZFM004,ALZFM005,ALZFM006,ALZFM007,ALZFM008,ALZFM009,ALZFM010,ALZFM011,ALZFM012,ALZFM013,totalHU,crowdHU,PERCROWD
60640,60640,B5,G6350,S,6247489,642403,41.9728721,-87.6626039,11957.6724,6247482.056,60640,2014-2018,69715,43449,17279,8987,0.128911,0.553023,0.142566,0.165875,0.1087,0.393921,0.450625,0.07222,0.066567,0.55887,134,260,899,53831,0.114423,0.174068,0.553672,0.026219,0.008973,0.070966,0.028614,0.037781,0.072758,0.343943,0.581961,0.001337,0.096158,0.229832,453,1716,0.263986,G60640,2015-2019,US,60640,86000US60640,ZCTA5 60640,30170,16627,10220,2381,2494,532,1000,13543,8735,1859,2775,33,141,4989,2496,903,508,350,11,724,2493,622,1074,555,0,242,5440,3461,1066,1235,215,242,703,1979,677,613,564,1,124,ZCTA5 60640,1044,750,639,426,301,172,367,854,605,320,352,31,73,711,400,278,192,134,29,208,510,190,272,188,27,122,686,525,206,309,83,105,323,355,195,209,171,11,82,34543,1387,4.015285
60641,60641,B5,G6350,S,10468072,0,41.9466057,-87.7467867,16942.05816,10468067.57,60641,2014-2018,71023,44539,18579,7905,0.111302,0.366191,0.539966,0.01905,0.045267,0.703483,0.209947,0.028505,0.041595,0.296219,118,254,993,60073,0.173479,0.128608,0.436694,0.029575,0.021422,0.077267,0.05915,0.054354,0.369238,0.496707,0.132299,0.001098,0.157202,0.23235,548,1959,0.279735,G60641,2015-2019,US,60641,86000US60641,ZCTA5 60641,25419,13502,4151,2216,1973,1862,3300,11917,4863,2696,3561,4,793,981,476,304,65,51,7,49,505,214,149,73,0,69,18933,10666,1906,2496,1356,1732,3176,8267,1999,2190,2825,11,1242,ZCTA5 60641,947,682,368,332,288,305,328,571,394,325,363,6,196,202,142,115,47,40,10,39,133,92,77,69,27,49,774,532,302,315,240,345,364,554,243,268,352,13,291,24671,1060,4.296542
60642,60642,B5,G6350,S,4281345,207462,41.9020418,-87.6585438,11660.21101,4488802.842,60642,2014-2018,20201,15675,3204,1322,0.065442,0.600267,0.201673,0.101233,0.069799,0.422813,0.383198,0.103123,0.066279,0.712547,31,38,284,101939,0.073165,0.092195,0.687347,0.004091,0.004159,0.044178,0.00525,0.017657,0.092442,0.587197,0.320361,0,0.062373,0.132894,73,499,0.146293,G60642,2015-2019,US,60642,86000US60642,ZCTA5 60642,11613,6294,4109,289,1538,140,218,5319,3686,398,1082,16,137,956,491,279,14,71,20,107,465,137,37,167,0,124,1819,1052,530,181,175,10,156,767,358,159,192,0,58,ZCTA5 60642,663,579,406,109,298,75,94,343,298,136,204,26,79,220,168,138,24,62,34,76,152,70,38,91,18,88,295,212,140,77,127,16,80,174,133,90,67,18,47,9185,227,2.471421
60643,60643,B5,G6350,S,19029085,32576,41.7002727,-87.6632674,26732.98206,19061649.99,60643,2014-2018,49870,26061,14656,9153,0.183537,0.203289,0.033066,0.733367,0.003629,0.712053,0.210979,0.019437,0.050547,0.372342,228,325,1022,64477,0.008061,0.164213,0.458123,0.034929,0.075378,0.043828,0.039545,0.03393,0.795366,0.136691,0.065475,0.002468,0.057116,0.268429,482,2021,0.238496,G60643,2015-2019,US,60643,86000US60643,ZCTA5 60643,5487,2869,1398,537,416,342,176,2618,1736,342,495,10,35,14531,6369,1685,1568,1048,613,1455,8162,3265,2121,2215,13,548,714,406,140,105,9,131,21,308,150,69,62,0,27,ZCTA5 60643,403,255,172,135,116,105,87,230,193,113,114,17,40,930,669,323,300,284,222,304,596,328,380,378,20,194,219,133,63,64,15,88,24,120,77,64,58,24,31,17919,154,0.859423
60644,60644,B5,G6350,S,9074673,24575,41.8800843,-87.7563733,12931.32129,9099238.195,60644,2014-2018,47712,30008,11503,6201,0.129967,0.029175,0.064302,0.895184,0.001886,0.554639,0.374039,0.035413,0.020218,0.112752,240,349,1000,27262,0.016516,0.42169,0.36396,0.110004,0.055334,0.067355,0.059925,0.074906,0.181168,0.646116,0.168672,0.002904,0.137841,0.467042,599,1832,0.326965,G60644,2015-2019,US,60644,86000US60644,ZCTA5 60644,1182,645,214,152,93,91,95,537,250,88,74,0,125,14380,5525,809,1592,785,279,2060,8855,1572,2976,3077,22,1208,1431,783,138,220,124,86,215,648,119,233,105,0,191,ZCTA5 60644,322,182,96,86,75,67,52,184,117,60,60,24,94,1050,614,231,303,200,116,426,780,285,471,418,25,322,355,220,75,124,82,60,97,225,77,120,60,24,109,16490,886,5.372953
60645,60645,B5,G6350,S,5847015,0,42.0085584,-87.6947354,11203.14077,5847012.162,60645,2014-2018,47732,30039,11129,6564,0.137518,0.450034,0.170263,0.170452,0.1627,0.6515,0.217362,0.071739,0.044526,0.435546,305,433,1239,53340,0.195969,0.204983,0.444194,0.041645,0.014616,0.087507,0.041741,0.077539,0.286246,0.401434,0.308317,0.003002,0.123491,0.213965,638,1946,0.327852,G60645,2015-2019,US,60645,86000US60645,ZCTA5 60645,11266,6568,3060,942,988,790,788,4698,2785,590,1093,47,183,3434,1970,504,453,199,84,730,1464,526,535,278,0,125,3643,2165,267,712,339,540,307,1478,283,745,359,0,91,ZCTA5 60645,864,631,344,252,237,319,196,416,303,155,224,57,124,548,449,189,218,114,49,273,254,142,201,137,24,81,621,453,115,234,183,295,130,316,130,240,131,24,87,16074,1106,6.880677
60646,60646,B5,G6350,S,11840699,0,41.9930193,-87.7596273,24679.04744,11840707.5,60646,2014-2018,27987,14578,7677,5732,0.204809,0.725873,0.141887,0.010576,0.103262,0.809602,0.117933,0.020939,0.043823,0.512391,55,80,565,89480,0.050488,0.076027,0.516869,0.018694,0.067402,0.013729,0.015116,0.03403,0.698066,0.214676,0.086391,0.000867,0.060506,0.185528,199,1120,0.177679,G60646,2015-2019,US,60646,86000US60646,ZCTA5 60646,11640,5969,2840,866,707,824,732,5671,3106,727,1469,56,313,92,45,45,0,0,0,0,47,25,0,22,0,0,1990,1071,318,147,135,223,248,919,417,150,232,0,120,ZCTA5 60646,745,497,344,164,177,243,234,412,319,177,291,58,172,75,42,42,21,21,21,21,46,25,21,36,21,21,561,375,183,75,71,114,170,267,155,87,134,21,151,10676,273,2.557138
60647,60647,B5,G6350,S,10410316,89620,41.9212149,-87.7010284,19015.82854,10499943.5,60647,2014-2018,87509,65277,16008,6224,0.071124,0.443486,0.448251,0.054372,0.029574,0.500038,0.337791,0.083932,0.06023,0.522355,116,222,1091,73443,0.107326,0.12217,0.524537,0.018986,0.014783,0.071778,0.025531,0.023337,0.169249,0.63685,0.189607,0.002406,0.1061,0.211989,522,2153,0.242452,G60647,2015-2019,US,60647,86000US60647,ZCTA5 60647,44149,23203,11832,3164,3866,1493,2848,20946,11877,3093,4853,53,1070,2632,1372,601,304,227,61,179,1260,427,336,388,12,97,18205,9743,1865,2561,1533,1097,2687,8462,2447,2235,2652,48,1080,ZCTA5 60647,1149,916,568,354,357,293,348,698,531,342,394,39,231,357,268,212,112,94,46,99,210,88,129,122,18,53,1009,630,236,334,230,240,369,581,299,335,300,65,239,34086,1330,3.901895
60649,60649,B5,G6350,S,7586746,2576180,41.7634204,-87.5658787,15292.4981,7734206.939,60649,2014-2018,46024,27314,12140,6570,0.142752,0.028572,0.025704,0.925561,0.003933,0.485262,0.432351,0.025449,0.044913,0.247445,184,270,1085,30222,0.021054,0.373046,0.429898,0.084664,0.07024,0.038851,0.035093,0.055485,0.139708,0.497728,0.361851,0.000714,0.095811,0.369291,466,1833,0.254228,G60649,2015-2019,US,60649,86000US60649,ZCTA5 60649,832,372,188,90,64,16,14,460,191,96,164,0,9,17913,7247,1557,1906,1312,265,2207,10666,3802,3392,2703,0,769,508,191,36,48,52,1,54,317,72,58,171,0,16,ZCTA5 60649,202,119,104,75,55,26,15,161,91,80,119,24,14,1107,799,300,380,331,134,504,784,517,442,442,24,234,216,120,41,49,42,12,76,145,62,51,117,24,25,20735,678,3.269834
60651,60651,B5,G6350,S,9052862,0,41.9020934,-87.7408565,16998.89637,9052873.672,60651,2014-2018,63218,41626,14372,7220,0.114208,0.041491,0.424879,0.512038,0.00484,0.690017,0.223903,0.033041,0.037559,0.140598,226,357,1057,38083,0.104559,0.362896,0.359073,0.0739,0.026371,0.093745,0.054826,0.067336,0.277166,0.671235,0.047237,0.003129,0.159765,0.401822,693,2048,0.338379,G60651,2015-2019,US,60651,86000US60651,ZCTA5 60651,6167,3444,566,1134,487,489,768,2723,767,697,897,21,341,12493,5076,1066,1191,799,344,1676,7417,1800,2584,2033,0,1000,12010,6863,782,1972,798,1214,2097,5147,897,1618,1806,50,776,ZCTA5 60651,703,439,203,268,146,176,215,422,158,180,246,34,143,833,422,267,258,203,128,329,603,326,424,312,27,258,1181,798,250,467,228,263,407,660,233,396,362,57,201,19080,1292,6.771488
60652,60652,B5,G6350,S,12987856,0,41.7479319,-87.7147951,19513.02882,12987854.11,60652,2014-2018,43907,27514,11653,4740,0.107955,0.101852,0.398091,0.468946,0.008495,0.827731,0.142125,0.002124,0.019837,0.206086,140,219,632,68425,0.094768,0.173298,0.418588,0.043127,0.071429,0.052461,0.039832,0.067336,0.848159,0.092843,0.058998,0,0.084445,0.228871,384,1248,0.307692,G60652,2015-2019,US,60652,86000US60652,ZCTA5 60652,5277,3010,430,462,537,635,946,2267,613,540,796,10,308,9816,4000,891,1161,492,314,1142,5816,2124,1326,2114,29,223,7701,4615,428,765,741,1234,1447,3086,793,690,1135,23,445,ZCTA5 60652,659,434,129,124,183,207,211,335,161,148,201,16,112,564,413,220,207,184,156,278,481,305,299,403,31,126,550,415,155,200,212,261,222,343,175,146,259,30,141,13131,410,3.122382
